2016-11-07 15:01:32 - [ERROR] --> Nieudane logowanie użytkownika: [mprzybylski]
2016-11-07 15:01:43 - [ERROR] --> Nieudane logowanie użytkownika: [mprzybylski]
2016-11-07 15:08:03 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-11-07 15:09:34 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-11-07 15:09:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-11-07 15:09:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [2]
2016-11-07 15:09:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/141/2016], ID dokumentu: [248], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
