2016-11-15 21:07:53 - [INFO] --> Logowanie użytkownika: [cskwarzynski]
2016-11-15 21:08:02 - [INFO] --> Logowanie użytkownika: [abuller]
2016-11-15 21:08:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-11-15 21:08:15 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-11-15 21:08:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-11-15 21:08:27 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-11-15 21:08:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-11-15 21:08:41 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-11-15 21:08:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-11-15 21:08:50 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-11-15 21:08:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-11-15 21:08:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-11-15 21:09:08 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-11-15 21:09:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-11-15 21:09:23 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-11-15 21:09:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-11-15 21:09:35 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-11-15 21:09:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-11-15 21:09:47 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-11-15 21:09:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-11-15 21:09:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-2]
2016-11-15 21:10:09 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-11-15 21:10:19 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-11-15 21:10:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-11-15 21:10:44 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-2]
2016-11-15 21:28:37 - [INFO] --> Logowanie użytkownika: [lmazurowski]
