2016-11-22 13:05:35 - [INFO] --> Logowanie użytkownika: [mennica_papier]
2016-11-22 13:20:28 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-22 13:34:11 - [INFO] --> Logowanie użytkownika: [kwiaterski]
2016-11-22 13:38:29 - [INFO] --> Logowanie użytkownika: [mennica_papier]
2016-11-22 13:39:00 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2016-11-22 13:39:11 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-11-22 13:39:24 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-11-22 13:39:39 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-11-22 13:39:49 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-11-22 13:39:58 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-11-22 13:40:01 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/15/2016],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [31]
2016-11-22 13:40:01 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/15/2016],  Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [56]
2016-11-22 13:40:08 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-11-22 13:40:18 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-22 13:40:19 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-11-22 13:40:28 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-11-22 13:40:35 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/15/2016],  Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [128], Ilość: [31]
2016-11-22 13:40:35 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/15/2016],  Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [56]
2016-11-22 13:40:39 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-11-22 13:41:09 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Tomasz Karabiniewicz], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-2]
2016-11-22 13:42:05 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/14/2016],  Nazwa urządzenia: [karta SAM mifare], ID urządzenia: [7], Ilość: [4]
2016-11-22 13:42:06 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/14/2016],  Nazwa urządzenia: [karta SAM mifare], ID urządzenia: [24], Ilość: [1]
2016-11-22 13:42:06 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/14/2016],  Nazwa urządzenia: [karta SAM mifare], ID urządzenia: [30], Ilość: [1]
2016-11-22 13:42:06 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/14/2016],  Nazwa urządzenia: [karta SAM mifare], ID urządzenia: [31], Ilość: [1]
2016-11-22 13:42:06 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/14/2016],  Nazwa urządzenia: [karta SAM mifare], ID urządzenia: [136], Ilość: [1]
