2016-11-28 9:02:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4678], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5419], Nr automatu: [5244]
2016-11-28 9:02:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4677], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5417], Nr automatu: [5405]
2016-11-28 9:11:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [4752], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [538]
2016-11-28 9:53:47 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-11-28 9:56:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-11-28 9:56:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-11-28 9:56:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2016-11-28 9:56:23 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2016-11-28 9:56:23 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2016-11-28 9:56:23 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2016-11-28 9:56:23 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2016-11-28 9:56:23 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2016], ID dokumentu: [449], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2016-11-28 9:56:31 - [INFO] --> Logowanie użytkownika: [kjasinski]
