2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5227], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4603], Nr automatu: [5063]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5221], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2701], Nr automatu: [5266]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5222], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3004], Nr automatu: [5285]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5216], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2231], Nr automatu: [5116]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5223], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3008], Nr automatu: [5289]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5217], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2266], Nr automatu: [5141]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5224], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3106], Nr automatu: [5771]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5218], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2272], Nr automatu: [5145]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5225], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3127], Nr automatu: [5814]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5226], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3128], Nr automatu: [5815]
2016-11-30 7:08:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5220], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2431], Nr automatu: [5380]
2016-11-30 7:23:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5219], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2392], Nr automatu: [5349]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5197], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8077], Nr automatu: [5636]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5191], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2352], Nr automatu: [5015]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5192], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2354], Nr automatu: [5321]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5193], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2491], Nr automatu: [5042]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5194], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2521], Nr automatu: [5068]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5195], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2804], Nr automatu: [5374]
2016-11-30 7:29:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5196], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5428], Nr automatu: [5567]
2016-11-30 7:40:16 - [INFO] --> Logowanie użytkownika: [kwiaterski]
