2016-12-01 10:50:25 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-01 10:50:44 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-12-01 10:54:55 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [2]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2016-12-01 10:54:56 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/274/2016], ID dokumentu: [495], Nazwa serisanta: [Filip Marzec], ID serwisanta: [20], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
