2016-12-05 14:15:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5523], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2496], Nr automatu: [5199]
2016-12-05 14:15:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5676], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5401], Nr automatu: [5187]
2016-12-05 14:15:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [3556], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7335], Nr automatu: [5441]
2016-12-05 14:15:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5001], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2496], Nr automatu: [5199]
2016-12-05 14:15:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [5002], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2206], Nr automatu: [5101]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-12-05 14:19:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-12-05 14:19:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-12-05 14:19:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-12-05 14:19:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2016-12-05 14:19:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/305/2016], ID dokumentu: [543], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
