2016-12-07 19:47:37 - [ERROR] --> Nieudane logowanie użytkownika: [fmarzec]
2016-12-07 19:47:44 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-07 19:48:10 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Filip Marzec], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [600]
2016-12-07 19:48:10 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [6726], ID urządzenia: [130], Serwisant: [fmarzec]
2016-12-07 19:48:22 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-12-07 19:48:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-12-07 19:48:37 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-1]
2016-12-07 19:48:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-12-07 19:48:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-12-07 19:49:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [pinpad], Id urządzenia: [31], Ilość: [-1]
2016-12-07 19:49:13 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-12-07 19:49:20 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-12-07 19:49:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-12-07 19:49:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-12-07 19:49:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-12-07 19:49:49 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2016-12-07 19:49:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2016-12-07 19:50:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-2]
