2016-12-08 7:35:23 - [INFO] --> Logowanie użytkownika: [cskwarzynski]
2016-12-08 7:38:22 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6803], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2293], Nr automatu: [5162]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6810], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4414], Nr automatu: [5556]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6804], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2377], Nr automatu: [5338]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6811], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4600], Nr automatu: [5004]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6805], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2399], Nr automatu: [5358]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6812], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4628], Nr automatu: [5747]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6806], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2442], Nr automatu: [5389]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6813], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4631], Nr automatu: [5464]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6807], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2603], Nr automatu: [5255]
2016-12-08 7:43:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6814], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4641], Nr automatu: [5757]
2016-12-08 7:43:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6808], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3114], Nr automatu: [5788]
2016-12-08 7:43:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6802], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2201], Nr automatu: [5097]
2016-12-08 7:43:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6809], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3129], Nr automatu: [5818]
2016-12-08 7:53:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6755], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7001], Nr automatu: [5569]
2016-12-08 7:53:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6760], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2304], Nr automatu: [5013]
2016-12-08 7:53:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6761], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2312], Nr automatu: [5224]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6762], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2332], Nr automatu: [5300]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6756], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7001], Nr automatu: [5569]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6763], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2544], Nr automatu: [5083]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6757], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7326], Nr automatu: [5432]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6764], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3205], Nr automatu: [5347]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6758], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8310], Nr automatu: [5517]
2016-12-08 7:53:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6759], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8139], Nr automatu: [5697]
2016-12-08 7:55:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6726], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [600]
2016-12-08 7:55:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [6741], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [563]
