2016-12-14 7:03:49 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-14 7:04:19 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2016-12-14 7:41:44 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-14 7:46:01 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-12-14 7:46:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2016-12-14 7:46:03 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/374/2016], ID dokumentu: [666], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CM 5,0 zł], ID urządzenia: [13], Ilość: [1]
2016-12-14 7:48:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2016-12-14 7:48:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-14 7:48:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2016-12-14 7:48:21 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2016-12-14 7:48:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2016-12-14 7:48:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2016-12-14 7:48:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sterownik drukarki], ID urządzenia: [40], Ilość: [1]
2016-12-14 7:48:22 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/375/2016], ID dokumentu: [667], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sterownik drukarki], ID urządzenia: [40], Ilość: [1]
