2016-12-18 14:27:21 - [INFO] --> Logowanie użytkownika: [krzysztof]
2016-12-18 14:53:07 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-18 14:53:59 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/411/2016], ID dokumentu: [732], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2016-12-18 14:54:00 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/411/2016], ID dokumentu: [732], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9141], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2213], Nr automatu: [5213]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9128], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2510], Nr automatu: [5057]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9142], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2265], Nr automatu: [5219]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9129], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2802], Nr automatu: [5154]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9143], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2329], Nr automatu: [5232]
2016-12-18 14:57:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9130], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3208], Nr automatu: [5120]
2016-12-18 14:57:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9144], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2349], Nr automatu: [5320]
2016-12-18 14:57:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9145], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2393], Nr automatu: [5352]
2016-12-18 14:59:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9135], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3115], Nr automatu: [5789]
2016-12-18 14:59:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9136], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3117], Nr automatu: [5793]
2016-12-18 14:59:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9137], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7348], Nr automatu: [5454]
2016-12-18 14:59:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9131], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2721], Nr automatu: [5825]
2016-12-18 14:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9138], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8140], Nr automatu: [5698]
2016-12-18 14:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9132], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2722], Nr automatu: [5826]
2016-12-18 14:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9139], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5427], Nr automatu: [5331]
2016-12-18 14:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9133], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3008], Nr automatu: [5289]
2016-12-18 14:59:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9134], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3104], Nr automatu: [5768]
