2016-12-19 7:16:33 - [INFO] --> Logowanie użytkownika: [krzysztof]
2016-12-19 7:17:06 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-19 7:17:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Jasiński - Serwisant], Urządzenie: [BNA], Id urządzenia: [7], Ilość: [-1]
2016-12-19 7:18:37 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-19 7:20:33 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-19 7:26:09 - [INFO] --> Logowanie użytkownika: [abuller]
2016-12-19 7:39:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9163], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5601], Nr automatu: [5044]
2016-12-19 7:39:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9164], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7323], Nr automatu: [5429]
2016-12-19 7:39:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9165], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7351], Nr automatu: [5457]
2016-12-19 7:39:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9159], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4629], Nr automatu: [5731]
2016-12-19 7:39:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9166], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8040], Nr automatu: [5501]
2016-12-19 7:39:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9160], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4636], Nr automatu: [5739]
2016-12-19 7:39:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9167], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8324], Nr automatu: [5531]
2016-12-19 7:39:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9161], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4638], Nr automatu: [5486]
2016-12-19 7:39:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9168], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4413], Nr automatu: [5150]
2016-12-19 7:39:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9162], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5432], Nr automatu: [5017]
2016-12-19 7:45:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9175], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3003], Nr automatu: [5284]
2016-12-19 7:45:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9176], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3109], Nr automatu: [5777]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9177], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3115], Nr automatu: [5790]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9171], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2237], Nr automatu: [5121]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9178], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3130], Nr automatu: [5819]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9172], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2259], Nr automatu: [5140]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9173], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2479], Nr automatu: [5196]
2016-12-19 7:45:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [9174], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2483], Nr automatu: [5034]
