2016-12-23 21:07:09 - [ERROR] --> Nieudane logowanie użytkownika: [fmarzec]
2016-12-23 21:07:18 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-23 21:07:38 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Filip Marzec], Urządzenie: [BNA], Id urządzenia: [7], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [546]
2016-12-23 21:07:38 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [10234], ID urządzenia: [7], Serwisant: [fmarzec]
2016-12-23 21:07:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Filip Marzec], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [559]
2016-12-23 21:07:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [10235], ID urządzenia: [27], Serwisant: [fmarzec]
2016-12-23 21:08:01 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-12-23 21:08:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-12-23 21:08:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-12-23 21:08:24 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-1]
2016-12-23 21:08:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-12-23 21:08:39 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-12-23 21:08:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-12-23 21:08:55 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-12-23 21:09:02 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-12-23 21:09:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2016-12-23 21:09:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2016-12-23 21:09:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
2016-12-23 21:35:53 - [INFO] --> Logowanie użytkownika: [blarkowski]
2016-12-23 21:36:08 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2016-12-23 21:36:17 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2016-12-23 21:36:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2016-12-23 21:36:35 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2016-12-23 21:36:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2016-12-23 21:36:50 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2016-12-23 21:36:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2016-12-23 21:37:10 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2016-12-23 21:37:18 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2016-12-23 21:37:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2016-12-23 21:37:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2016-12-23 21:37:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
