2016-12-29 3:55:49 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-29 3:56:17 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-2]
2016-12-29 3:56:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2016-12-29 3:56:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2016-12-29 3:57:00 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2016-12-29 3:57:20 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2016-12-29 3:57:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2016-12-29 3:57:42 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2016-12-29 3:57:53 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Sprężyna do koszyka w biletomacie BM 101], Id urządzenia: [134], Ilość: [-30]
2016-12-29 3:58:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Uchwyt nagrzewnicy automatu BM 101], Id urządzenia: [133], Ilość: [-5]
2016-12-29 3:58:14 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-3]
2016-12-29 3:58:23 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2016-12-29 3:58:35 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1]
2016-12-29 3:58:43 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2016-12-29 3:58:55 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2016-12-29 3:59:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2016-12-29 3:59:17 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-1]
2016-12-29 3:59:25 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2016-12-29 3:59:56 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Filip Marzec], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
