2016-12-30 7:12:27 - [INFO] --> Logowanie użytkownika: [fmarzec]
2016-12-30 7:12:57 - [INFO] --> Logowanie użytkownika: [kjasinski]
2016-12-30 7:34:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11170], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2450], Nr automatu: [5181]
2016-12-30 7:34:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11171], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2458], Nr automatu: [5189]
2016-12-30 7:34:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11165], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2276], Nr automatu: [5220]
2016-12-30 7:34:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11172], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2719], Nr automatu: [5132]
2016-12-30 7:34:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11166], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2353], Nr automatu: [5322]
2016-12-30 7:34:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11173], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2720], Nr automatu: [5824]
2016-12-30 7:34:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11167], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2209], Nr automatu: [5002]
2016-12-30 7:34:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11168], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2258], Nr automatu: [5139]
2016-12-30 7:34:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11169], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2429], Nr automatu: [5382]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11138], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4633], Nr automatu: [5477]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11139], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4408], Nr automatu: [5018]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11140], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8100], Nr automatu: [5659]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11141], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8307], Nr automatu: [5514]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11135], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8067], Nr automatu: [5626]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11136], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7353], Nr automatu: [5459]
2016-12-30 7:46:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11143], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8333], Nr automatu: [5540]
2016-12-30 7:49:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [11137], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8047], Nr automatu: [5606]
