2017-01-05 8:01:17 - [INFO] --> Logowanie użytkownika: [msieradzki]
2017-01-05 8:03:15 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-01-05 8:03:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12738], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7008], Nr automatu: [5576]
2017-01-05 8:07:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12740], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2224], Nr automatu: [5111]
2017-01-05 8:07:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12747], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8057], Nr automatu: [5616]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12741], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2230], Nr automatu: [5115]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12742], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2334], Nr automatu: [5234]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12743], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5402], Nr automatu: [5723]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12744], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5418], Nr automatu: [5708]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12745], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7318], Nr automatu: [5424]
2017-01-05 8:07:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12746], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7356], Nr automatu: [5462]
2017-01-05 8:08:00 - [INFO] --> Logowanie użytkownika: [pkalinowski]
2017-01-05 8:08:26 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Piotr Kalinowski], Urządzenie: [BNA], Id urządzenia: [7], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [465]
2017-01-05 8:08:26 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12800], ID urządzenia: [7], Serwisant: [pkalinowski]
2017-01-05 8:08:48 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Piotr Kalinowski], Urządzenie: [Papier Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-2], Nr boczny pojazdu: [], Nr automatu: [184]
2017-01-05 8:08:48 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12801], ID urządzenia: [149], Serwisant: [pkalinowski]
2017-01-05 8:08:48 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12801], ID urządzenia: [149], Serwisant: [pkalinowski]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12767], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2499], Nr automatu: [5048]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12774], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3105], Nr automatu: [5770]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12768], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12775], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3105], Nr automatu: [5769]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12769], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12776], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3119], Nr automatu: [5797]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12770], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2712], Nr automatu: [5277]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12777], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3129], Nr automatu: [5818]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12771], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2721], Nr automatu: [5825]
2017-01-05 8:22:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12778], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4635], Nr automatu: [5737]
2017-01-05 8:22:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12772], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3001], Nr automatu: [5282]
2017-01-05 8:22:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [12773], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3102], Nr automatu: [5763]
2017-01-05 8:26:28 - [INFO] --> Logowanie użytkownika: [abuller]
2017-01-05 8:32:24 - [INFO] --> Logowanie użytkownika: [cskwarzynski]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-05 8:35:36 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-05 8:35:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/29/2017], ID dokumentu: [1046], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-05 8:36:49 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [541]
2017-01-05 8:36:49 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12836], ID urządzenia: [33], Serwisant: [cskwarzynski]
2017-01-05 8:37:01 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [541]
2017-01-05 8:37:01 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [12837], ID urządzenia: [34], Serwisant: [cskwarzynski]
2017-01-05 8:38:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-05 8:38:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-05 8:38:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-05 8:38:41 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-05 8:38:42 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/30/2017], ID dokumentu: [1047], Nazwa serisanta: [Wojciech Perko], ID serwisanta: [11], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-05 8:41:44 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-05 8:41:44 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-05 8:41:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/31/2017], ID dokumentu: [1048], Nazwa serisanta: [Bartosz Larkowski], ID serwisanta: [5], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-05 8:51:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-05 8:51:37 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-05 8:51:38 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/32/2017], ID dokumentu: [1049], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
