2017-01-17 8:05:13 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17105], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7327], Nr automatu: [5433]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17118], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5809]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17112], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2419], Nr automatu: [5022]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17106], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5419], Nr automatu: [5244]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17119], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4601], Nr automatu: [5045]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17113], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2478], Nr automatu: [5195]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17107], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5437], Nr automatu: [5552]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17120], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4637], Nr automatu: [5751]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17114], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2426], Nr automatu: [5379]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17108], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8055], Nr automatu: [5614]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17102], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5609], Nr automatu: [5758]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17115], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3104], Nr automatu: [5768]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17109], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2488], Nr automatu: [5039]
2017-01-17 8:05:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17103], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7031], Nr automatu: [5599]
2017-01-17 8:05:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17116], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3110], Nr automatu: [5780]
2017-01-17 8:05:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17110], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3203], Nr automatu: [5026]
2017-01-17 8:05:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17104], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7306], Nr automatu: [5412]
2017-01-17 8:05:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17117], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3117], Nr automatu: [5793]
2017-01-17 8:05:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [17111], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2415], Nr automatu: [5370]
2017-01-17 8:35:12 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-01-17 8:35:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-01-17 8:35:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/108/2017], ID dokumentu: [1421], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-01-17 8:36:32 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/109/2017], ID dokumentu: [1422], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-01-17 8:36:32 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/109/2017], ID dokumentu: [1422], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-01-17 8:36:32 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/109/2017], ID dokumentu: [1422], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
