2017-01-20 5:15:37 - [ERROR] --> Nieudane logowanie użytkownika: [blarkowski]
2017-01-20 5:15:47 - [INFO] --> Logowanie użytkownika: [blarkowski]
2017-01-20 5:16:07 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2231], Nr automatu: [5116]
2017-01-20 5:16:07 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [18526], ID urządzenia: [129], Serwisant: [blarkowski]
2017-01-20 5:16:28 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [2710], Nr automatu: [5275]
2017-01-20 5:16:28 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [18527], ID urządzenia: [129], Serwisant: [blarkowski]
2017-01-20 5:16:43 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [3015], Nr automatu: [5296]
2017-01-20 5:16:43 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [18528], ID urządzenia: [129], Serwisant: [blarkowski]
2017-01-20 5:17:02 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [3113], Nr automatu: [5786]
2017-01-20 5:17:02 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [18529], ID urządzenia: [129], Serwisant: [blarkowski]
2017-01-20 5:17:18 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Bartosz Larkowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [7002], Nr automatu: [5570]
2017-01-20 5:17:18 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [18530], ID urządzenia: [129], Serwisant: [blarkowski]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-1]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-1]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-2]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-01-20 5:17:36 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Bartosz Larkowski], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
