2017-01-26 14:10:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [21283], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7008], Nr automatu: [5576]
2017-01-26 14:27:17 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-26 14:40:24 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-01-26 14:47:21 - [INFO] --> Logowanie użytkownika: [pkalinowski]
2017-01-26 14:47:47 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-01-26 14:49:35 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/261/2017], ID dokumentu: [1751], Nazwa serisanta: [Jacek Czajka], ID serwisanta: [28], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [3]
2017-01-26 14:53:20 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-01-26 14:55:51 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-26 14:56:04 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-01-26 14:58:34 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Bateria zamka], ID urządzenia: [145], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Żarówka kieszeni na bilet], ID urządzenia: [150], Ilość: [8]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Jarzeniówka oświetlenie zewnętrzne], ID urządzenia: [151], Ilość: [22]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Jarzeniówka oświetlenie wewnętrzne], ID urządzenia: [152], Ilość: [1]
2017-01-26 14:59:35 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/27/2017],  Nazwa urządzenia: [Starter do jarzeniówki oświetlenia zewnętrznego], ID urządzenia: [153], Ilość: [15]
2017-01-26 14:59:54 - [INFO] --> Logowanie użytkownika: [jczajka]
