2017-02-03 8:15:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25260], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8126], Nr automatu: [5684]
2017-02-03 8:15:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25261], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5401], Nr automatu: [5187]
2017-02-03 8:15:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25262], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7036], Nr automatu: [5604]
2017-02-03 8:15:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25263], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8306], Nr automatu: [5513]
2017-02-03 8:18:08 - [INFO] --> Logowanie użytkownika: [znowak]
2017-02-03 8:18:39 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Zygmunt Nowak], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-2], Nr boczny pojazdu: [], Nr automatu: [117]
2017-02-03 8:18:39 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [25380], ID urządzenia: [149], Serwisant: [znowak]
2017-02-03 8:18:39 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [25380], ID urządzenia: [149], Serwisant: [znowak]
2017-02-03 8:18:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25284], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2532], Nr automatu: [5401]
2017-02-03 8:21:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25290], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2717], Nr automatu: [5752]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25291], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3017], Nr automatu: [5298]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25285], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2305], Nr automatu: [5229]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25292], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3109], Nr automatu: [5778]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25286], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2522], Nr automatu: [5067]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25293], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3117], Nr automatu: [5794]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25287], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2202], Nr automatu: [5098]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25294], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4623], Nr automatu: [5749]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25288], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-02-03 8:21:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25289], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2715], Nr automatu: [5280]
2017-02-03 8:22:59 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-03 8:23:23 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [pinpad], ID urządzenia: [31], Ilość: [1]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-02-03 8:24:29 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-02-03 8:24:30 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-02-03 8:24:30 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/247/2017], ID dokumentu: [2010], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-02-03 8:26:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2017], ID dokumentu: [2011], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-02-03 8:26:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2017], ID dokumentu: [2011], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-02-03 8:26:20 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/248/2017], ID dokumentu: [2011], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
