2017-02-13 8:00:40 - [INFO] --> Logowanie użytkownika: [tjasinski_s]
2017-02-13 8:02:32 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-13 8:09:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29322], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [352]
2017-02-13 8:09:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29323], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [252]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29618], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [307]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29622], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [109]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29623], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28593], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [436]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28594], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [208]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28935], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [169]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28936], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [175]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28937], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [386]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [28938], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [384]
2017-02-13 8:09:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [29470], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [493]
