2017-02-28 21:08:12 - [INFO] --> Logowanie użytkownika: [dnowakowski_s]
2017-02-28 21:09:10 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [314]
2017-02-28 21:09:10 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37073], ID urządzenia: [128], Serwisant: [dnowakowski_s]
2017-02-28 21:09:32 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [298]
2017-02-28 21:09:32 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37074], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-02-28 21:10:08 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [108]
2017-02-28 21:10:08 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37075], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-02-28 21:14:09 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-02-28 21:14:50 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [Drukarka Edmonson duża BTVM-1], Id urządzenia: [148], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [180]
2017-02-28 21:14:50 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37118], ID urządzenia: [148], Serwisant: [mjanek]
2017-02-28 21:17:00 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-02-28 21:18:05 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-02-28 21:26:47 - [INFO] --> Logowanie użytkownika: [tjasinski_s]
2017-02-28 21:27:18 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Tomasz Jasiński serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [128]
2017-02-28 21:27:18 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37159], ID urządzenia: [149], Serwisant: [tjasinski_s]
2017-02-28 21:27:38 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Tomasz Jasiński serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [119]
2017-02-28 21:27:38 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37160], ID urządzenia: [128], Serwisant: [tjasinski_s]
2017-02-28 21:28:09 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Tomasz Jasiński serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [124]
2017-02-28 21:28:09 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37161], ID urządzenia: [149], Serwisant: [tjasinski_s]
2017-02-28 21:28:25 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Tomasz Jasiński serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [204]
2017-02-28 21:28:25 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37162], ID urządzenia: [149], Serwisant: [tjasinski_s]
2017-02-28 21:28:45 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Tomasz Jasiński serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [204]
2017-02-28 21:28:45 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37163], ID urządzenia: [128], Serwisant: [tjasinski_s]
2017-02-28 21:47:58 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-02-28 21:48:12 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [527]
2017-02-28 21:48:12 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37204], ID urządzenia: [130], Serwisant: [smiernik]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-02-28 21:48:31 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-2]
2017-02-28 21:58:54 - [INFO] --> Logowanie użytkownika: [abuller]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-02-28 21:59:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-02-28 21:59:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-02-28 21:59:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-02-28 21:59:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-02-28 21:59:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
