2017-03-01 11:02:21 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-03-01 11:06:08 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-01 11:16:09 - [INFO] --> Logowanie użytkownika: [znowak]
2017-03-01 11:18:18 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/540/2017], ID dokumentu: [2815], Nazwa serisanta: [Zygmunt Nowak], ID serwisanta: [30], Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-01 11:45:46 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-01 11:50:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [35427], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [307]
2017-03-01 11:50:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37118], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [180]
2017-03-01 11:50:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [35618], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [392]
2017-03-01 11:50:01 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36837], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [255]
2017-03-01 11:50:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36939], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-03-01 11:51:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36378], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [495]
2017-03-01 11:52:41 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36151], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [422]
2017-03-01 11:53:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36592], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [412]
2017-03-01 11:55:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37067], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [350]
2017-03-01 11:55:52 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34995], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [210]
2017-03-01 11:56:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [35569], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [328]
2017-03-01 11:57:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36417], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [290]
