2017-03-01 18:24:01 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-03-01 18:24:40 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [164]
2017-03-01 18:24:40 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [37612], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-01 18:41:03 - [INFO] --> Logowanie użytkownika: [abuller]
2017-03-01 18:41:15 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-03-01 18:41:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Artur Buller], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
