2017-03-08 20:15:45 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-03-08 20:16:12 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [140]
2017-03-08 20:16:13 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41429], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-08 20:16:35 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [232]
2017-03-08 20:16:35 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41430], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-08 20:16:59 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-2], Nr boczny pojazdu: [], Nr automatu: [280]
2017-03-08 20:16:59 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41431], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-08 20:16:59 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41431], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-08 20:17:19 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [130]
2017-03-08 20:17:19 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41432], ID urządzenia: [149], Serwisant: [mjanek]
2017-03-08 20:42:05 - [INFO] --> Logowanie użytkownika: [lmazurowski]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-03-08 20:42:16 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Łukasz Mazurowski], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
2017-03-08 20:48:44 - [INFO] --> Logowanie użytkownika: [kjasinski]
