2017-03-14 23:23:28 - [INFO] --> Logowanie użytkownika: [cskwarzynski]
2017-03-14 23:31:57 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [558]
2017-03-14 23:31:57 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [44799], ID urządzenia: [33], Serwisant: [cskwarzynski]
2017-03-14 23:32:33 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [558]
2017-03-14 23:32:33 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [44800], ID urządzenia: [34], Serwisant: [cskwarzynski]
2017-03-14 23:32:53 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta pod CM], Id urządzenia: [33], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [płyta za ACM], Id urządzenia: [34], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-3]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-03-14 23:32:54 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Cezary Skwarzyński], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
