2017-03-23 20:33:48 - [INFO] --> Logowanie użytkownika: [msieradzki]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-03-23 20:34:03 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-03-23 20:34:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mariusz Sieradzki], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
