2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65099], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7309], Nr automatu: [5415]
2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65100], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7355], Nr automatu: [5461]
2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65102], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8102], Nr automatu: [5661]
2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65103], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8131], Nr automatu: [5689]
2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65104], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8302], Nr automatu: [5509]
2017-04-25 7:15:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65105], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8308], Nr automatu: [5515]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65068], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4404], Nr automatu: [5243]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65069], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4606], Nr automatu: [5072]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65070], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3121], Nr automatu: [5801]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65071], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3104], Nr automatu: [5767]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65072], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2704], Nr automatu: [5269]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65073], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2441], Nr automatu: [5390]
2017-04-25 7:18:10 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65074], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2372], Nr automatu: [5333]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65075], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2334], Nr automatu: [5234]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65076], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65077], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2231], Nr automatu: [5116]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65078], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2805], Nr automatu: [5469]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65079], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2547], Nr automatu: [5086]
2017-04-25 7:18:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65080], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2490], Nr automatu: [5041]
2017-04-25 7:18:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [65051], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [584]
2017-04-25 7:25:37 - [ERROR] --> Nieudane logowanie użytkownika: [kjasinski]
2017-04-25 7:25:54 - [ERROR] --> Nieudane logowanie użytkownika: [kjasinski]
2017-04-25 7:49:04 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-04-25 7:50:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-04-25 7:50:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-04-25 7:50:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-04-25 7:50:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/887/2017], ID dokumentu: [4416], Nazwa serisanta: [Szymon Miernik], ID serwisanta: [7], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-04-25 7:51:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-04-25 7:51:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-04-25 7:51:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-04-25 7:51:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-04-25 7:51:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-04-25 7:51:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/888/2017], ID dokumentu: [4418], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
