2017-05-12 10:02:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [14491], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3118], Nr automatu: [5796]
2017-05-12 10:14:44 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-05-12 10:15:22 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Rafał Stawieraj], Urządzenie: [Drukarka Edmonson duża BTVM-1], Id urządzenia: [148], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [461]
2017-05-12 10:15:22 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [73065], ID urządzenia: [148], Serwisant: [rstawieraj]
2017-05-12 10:41:00 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-05-12 10:56:45 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-05-12 10:56:46 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-05-12 10:56:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1014/2017], ID dokumentu: [4843], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-05-12 10:59:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-05-12 10:59:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-05-12 10:59:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-05-12 10:59:12 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1015/2017], ID dokumentu: [4844], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
