2017-06-02 3:02:23 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4609], Nr automatu: [5127]
2017-06-02 3:02:23 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84151], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:02:42 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4623], Nr automatu: [5749]
2017-06-02 3:02:42 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84152], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:03:03 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4636], Nr automatu: [5739]
2017-06-02 3:03:03 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84153], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:03:25 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [4638], Nr automatu: [5486]
2017-06-02 3:03:25 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84154], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:07:18 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [7323], Nr automatu: [5429]
2017-06-02 3:07:18 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84155], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:07:36 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8082], Nr automatu: [5641]
2017-06-02 3:07:36 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84156], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:08:01 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-1], Nr boczny pojazdu: [8091], Nr automatu: [5650]
2017-06-02 3:08:01 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84157], ID urządzenia: [58], Serwisant: [mzerebecki]
2017-06-02 3:11:54 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-1], Nr boczny pojazdu: [8126], Nr automatu: [5684]
2017-06-02 3:11:54 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84158], ID urządzenia: [58], Serwisant: [mzerebecki]
2017-06-02 3:12:15 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8124], Nr automatu: [5682]
2017-06-02 3:12:15 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84159], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:12:34 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8145], Nr automatu: [5703]
2017-06-02 3:12:34 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [84160], ID urządzenia: [129], Serwisant: [mzerebecki]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel PC - DRUKARKA], Id urządzenia: [122], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Kabel ZASILACZ - MAIN (14pin)], Id urządzenia: [123], Ilość: [-2]
2017-06-02 3:12:59 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-11]
