2017-06-07 6:08:13 - [INFO] --> Logowanie użytkownika: [dnowakowski_s]
2017-06-07 6:22:58 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-06-07 6:24:06 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1241/2017], ID dokumentu: [5553], Nazwa serisanta: [Rafał Stawieraj], ID serwisanta: [33], Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-06-07 6:29:22 - [INFO] --> Logowanie użytkownika: [rtworkowski]
2017-06-07 6:31:33 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1242/2017], ID dokumentu: [5554], Nazwa serisanta: [Rafał Tworkowski], ID serwisanta: [26], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [10]
2017-06-07 6:48:45 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-06-07 6:49:02 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1243/2017], ID dokumentu: [5555], Nazwa serisanta: [Jacek Czajka], ID serwisanta: [28], Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [10]
2017-06-07 6:55:57 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-07 6:56:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86435], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [600]
2017-06-07 6:56:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [86436], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [552]
2017-06-07 6:56:38 - [INFO] --> Logowanie użytkownika: [jczajka]
2017-06-07 6:57:04 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1244/2017], ID dokumentu: [5557], Nazwa serisanta: [Jacek Czajka], ID serwisanta: [28], Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-06-07 6:58:05 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-06-07 6:59:23 - [INFO] --> Logowanie użytkownika: [mzerebecki]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-06-07 6:59:33 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Mateusz Żerebecki], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-2]
