2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87832], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2487], Nr automatu: [5038]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87833], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2809], Nr automatu: [5487]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87834], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3204], Nr automatu: [5025]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87835], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2608], Nr automatu: [5258]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87836], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87837], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2721], Nr automatu: [5825]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87838], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3001], Nr automatu: [5282]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87839], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3102], Nr automatu: [5764]
2017-06-09 7:13:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87840], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3118], Nr automatu: [5796]
2017-06-09 7:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87841], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4417], Nr automatu: [5559]
2017-06-09 7:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87842], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4614], Nr automatu: [5465]
2017-06-09 7:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87843], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4626], Nr automatu: [5704]
2017-06-09 7:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87844], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2356], Nr automatu: [5323]
2017-06-09 7:13:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87829], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4417], Nr automatu: [5559]
2017-06-09 7:31:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87797], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5438], Nr automatu: [5052]
2017-06-09 7:31:06 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87798], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7303], Nr automatu: [5409]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87799], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7315], Nr automatu: [5421]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87800], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7339], Nr automatu: [5445]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87801], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8057], Nr automatu: [5616]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87802], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8121], Nr automatu: [5679]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87803], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8129], Nr automatu: [5687]
2017-06-09 7:31:07 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [87804], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8303], Nr automatu: [5510]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-06-09 7:39:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-06-09 7:39:51 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1250/2017], ID dokumentu: [5634], Nazwa serisanta: [Waldemar Dzienis], ID serwisanta: [49], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-06-09 7:40:52 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1251/2017], ID dokumentu: [5635], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-09 7:40:52 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1251/2017], ID dokumentu: [5635], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-09 7:40:52 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1251/2017], ID dokumentu: [5635], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-09 7:40:52 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1251/2017], ID dokumentu: [5635], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
