2017-06-09 18:34:21 - [INFO] --> Logowanie użytkownika: [konrad]
2017-06-09 18:34:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-06-09 18:34:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-06-09 18:34:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-06-09 18:34:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-06-09 18:34:45 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [Ustnik monet], Id urządzenia: [127], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-06-09 18:34:46 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Konrad Kowalczyk], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
