2017-06-19 11:16:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [92486], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3130], Nr automatu: [5819]
2017-06-19 11:16:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [92507], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2377], Nr automatu: [5338]
2017-06-19 11:16:34 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [92880], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5443], Nr automatu: [5716]
2017-06-19 11:54:20 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-06-19 11:54:52 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-06-19 11:55:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-06-19 11:55:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-06-19 11:55:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-06-19 11:55:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-06-19 11:55:50 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1326/2017], ID dokumentu: [5911], Nazwa serisanta: [Paweł Mikucki], ID serwisanta: [42], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-06-19 11:56:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1327/2017], ID dokumentu: [5912], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-06-19 11:56:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1327/2017], ID dokumentu: [5912], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-06-19 11:56:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1327/2017], ID dokumentu: [5912], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-06-19 11:56:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1327/2017], ID dokumentu: [5912], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-06-19 11:56:40 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1327/2017], ID dokumentu: [5912], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
