2017-07-04 14:12:48 - [INFO] --> Logowanie użytkownika: [dnowakowski_s]
2017-07-04 14:13:26 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1512/2017], ID dokumentu: [6440], Nazwa serisanta: [Dariusz Nowakowski- Serwisant], ID serwisanta: [40], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [4]
2017-07-04 14:13:26 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/1512/2017], ID dokumentu: [6440], Nazwa serisanta: [Dariusz Nowakowski- Serwisant], ID serwisanta: [40], Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-07-04 14:14:22 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [430]
2017-07-04 14:14:22 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [102699], ID urządzenia: [128], Serwisant: [dnowakowski_s]
2017-07-04 14:15:26 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [9]
2017-07-04 14:15:26 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [102700], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-07-04 14:15:48 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [178]
2017-07-04 14:15:48 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [102701], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-07-04 14:26:43 - [INFO] --> Logowanie użytkownika: [mmadejsierski]
2017-07-04 14:30:57 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-04 14:31:50 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-07-04 14:35:44 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/88/2017],  Nazwa urządzenia: [Czujnik temperatury], ID urządzenia: [191], Ilość: [1]
