2017-07-07 12:03:16 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1455/2017], ID dokumentu: [6543], Nazwa serisanta: [Krystian Rechul], ID serwisanta: [43], Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [2]
2017-07-07 12:05:08 - [INFO] --> Logowanie użytkownika: [mennica_papier]
2017-07-07 12:10:10 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/42/2017],  Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [40]
2017-07-07 12:10:21 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-07-07 12:10:29 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/42/2017],  Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [40]
2017-07-07 12:11:41 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-07 12:13:55 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103338], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-07-07 12:15:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103612], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-07-07 12:16:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103712], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [492]
2017-07-07 12:16:42 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103234], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [292]
2017-07-07 12:17:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103713], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [254]
2017-07-07 12:20:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103336], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-07-07 12:21:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103337], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [215]
2017-07-07 12:22:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [104431], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [200]
2017-07-07 12:22:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103400], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [491]
2017-07-07 12:23:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103461], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [492]
2017-07-07 12:23:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [103714], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [254]
2017-07-07 12:25:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [100422], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [448]
2017-07-07 12:28:56 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
