2017-07-10 9:03:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [105907], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7027], Nr automatu: [5595]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-07-10 9:14:13 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-07-10 9:14:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-07-10 9:14:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-07-10 9:14:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-07-10 9:14:14 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/1472/2017], ID dokumentu: [6624], Nazwa serisanta: [Tomasz Karabiniewicz], ID serwisanta: [14], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-07-10 9:34:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [99132], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [622]
