2017-07-26 4:01:26 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Krzysztof Janowski], Urządzenie: [Papier mobilny], Id urządzenia: [129], Ilość: [-1], Nr boczny pojazdu: [8071], Nr automatu: [5630]
2017-07-26 4:01:26 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [115171], ID urządzenia: [129], Serwisant: [kjanowski]
2017-07-26 4:09:29 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Krzysztof Janowski], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-1], Nr boczny pojazdu: [8114], Nr automatu: [5673]
2017-07-26 4:09:29 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [115172], ID urządzenia: [66], Serwisant: [kjanowski]
2017-07-26 4:09:48 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Krzysztof Janowski], Urządzenie: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], Id urządzenia: [76], Ilość: [-1], Nr boczny pojazdu: [8114], Nr automatu: [5673]
2017-07-26 4:09:48 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [115173], ID urządzenia: [76], Serwisant: [kjanowski]
2017-07-26 4:11:37 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Krzysztof Janowski], Urządzenie: [Sprężyna do koszyka w biletomacie BM 101], Id urządzenia: [134], Ilość: [-1], Nr boczny pojazdu: [8126], Nr automatu: [5684]
2017-07-26 4:11:37 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [115174], ID urządzenia: [134], Serwisant: [kjanowski]
2017-07-26 4:13:52 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Krzysztof Janowski], Urządzenie: [MAIN (WRDE 0141)], Id urządzenia: [66], Ilość: [-1], Nr boczny pojazdu: [8320], Nr automatu: [5527]
2017-07-26 4:13:52 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [115175], ID urządzenia: [66], Serwisant: [kjanowski]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Akumulator 12V 2,3 Ah], Id urządzenia: [58], Ilość: [-2]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Antena dwupasmowa GSM/GPS], Id urządzenia: [59], Ilość: [-2]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [CR manual mobilny], Id urządzenia: [61], Ilość: [-2]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [kabel ZASILACZ - MAIN (4 żyły)], Id urządzenia: [64], Ilość: [-2]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], Id urządzenia: [65], Ilość: [-2]
2017-07-26 4:15:04 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [opóźniacz], Id urządzenia: [69], Ilość: [-1]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Wentylator 12 v 50x50], Id urządzenia: [73], Ilość: [-4]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Zasilacz (WRKP0135)], Id urządzenia: [75], Ilość: [-2]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], Id urządzenia: [101], Ilość: [-1]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], Id urządzenia: [112], Ilość: [-1]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Kabel ZASILACZ - PC], Id urządzenia: [115], Ilość: [-2]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Kabel ZASILACZ - MIFARE], Id urządzenia: [117], Ilość: [-2]
2017-07-26 4:15:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Taśma do czytnika kart (CR - ARTEMA)], Id urządzenia: [121], Ilość: [-1]
