2017-07-31 12:00:15 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-07-31 12:00:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/98/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [57]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117811], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [3129], Nr automatu: [5817]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117812], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2724], Nr automatu: [5828]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117813], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2723], Nr automatu: [5827]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117814], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2719], Nr automatu: [5132]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117815], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2701], Nr automatu: [5266]
2017-07-31 12:00:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117816], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2607], Nr automatu: [5259]
2017-07-31 12:00:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117817], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2535], Nr automatu: [5078]
2017-07-31 12:00:51 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-31 12:00:55 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/98/2017],  Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [57]
2017-07-31 12:13:14 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117004], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2207], Nr automatu: [5102]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117005], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2222], Nr automatu: [5214]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117006], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2230], Nr automatu: [5115]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117007], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117008], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2254], Nr automatu: [5137]
2017-07-31 12:14:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [117009], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2288], Nr automatu: [5157]
