2017-08-10 21:15:07 - [ERROR] --> Nieudane logowanie użytkownika: [mjanek]
2017-08-10 21:15:15 - [INFO] --> Logowanie użytkownika: [mjanek]
2017-08-10 21:15:20 - [INFO] --> Logowanie użytkownika: [mstaniszewski]
2017-08-10 21:15:37 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [451]
2017-08-10 21:15:37 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [124101], ID urządzenia: [149], Serwisant: [mjanek]
2017-08-10 21:15:51 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [104]
2017-08-10 21:15:51 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [124102], ID urządzenia: [149], Serwisant: [mjanek]
2017-08-10 21:16:03 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Marcin Staniszewski], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [184]
2017-08-10 21:16:03 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [124103], ID urządzenia: [149], Serwisant: [mstaniszewski]
2017-08-10 21:16:08 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Mirosław Janek], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [251]
2017-08-10 21:16:08 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [124104], ID urządzenia: [149], Serwisant: [mjanek]
2017-08-10 21:55:20 - [INFO] --> Logowanie użytkownika: [kjanowski]
2017-08-10 21:55:57 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-08-10 21:56:05 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-08-10 21:58:57 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Krzysztof Janowski], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-3]
