2017-08-25 16:34:05 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [EM Drukarka Edmonson], ID urządzenia: [167], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [EM Drukarka Edmonson], ID urządzenia: [167], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Bateria backup], ID urządzenia: [146], Ilość: [2]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [EM Smart Hopper], ID urządzenia: [194], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-08-25 16:44:38 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-08-25 16:44:39 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Jarzeniówka oświetlenie zewnętrzne], ID urządzenia: [151], Ilość: [1]
2017-08-25 16:44:39 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-08-25 16:44:39 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-08-25 16:44:39 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/112/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-08-25 16:44:51 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
