2017-09-07 9:31:33 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-09-07 9:37:36 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-09-07 9:38:17 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [1], Ilość: [1]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [7], Ilość: [2]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [14], Ilość: [3]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [3]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [42], Ilość: [1]
2017-09-07 9:38:47 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WRO/N/54/2017],  Nazwa urządzenia: [pinpad SB], ID urządzenia: [44], Ilość: [1]
