2016-12-30 19:26:19 - [INFO] --> Logowanie użytkownika: [mennica_test]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [antena mifare], ID urządzenia: [3], Ilość: [4]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-30 19:30:54 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/02/2016],  Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka D], ID urządzenia: [141], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka D], ID urządzenia: [141], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka D], ID urządzenia: [141], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka D], ID urządzenia: [141], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka M], ID urządzenia: [142], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka M], ID urządzenia: [142], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka M], ID urządzenia: [142], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Płytka zamka M], ID urządzenia: [142], Ilość: [1]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [4]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Elektromagnez zamka], ID urządzenia: [147], Ilość: [2]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [139], Ilość: [3]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Koszyk anteny Mifare], ID urządzenia: [143], Ilość: [3]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Pleksi kieszeni na bilet], ID urządzenia: [144], Ilość: [3]
2016-12-30 19:37:27 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Bateria zamka], ID urządzenia: [145], Ilość: [8]
2016-12-30 19:37:28 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Bateria zamka backup], ID urządzenia: [146], Ilość: [2]
2016-12-30 19:37:28 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [PC], ID urządzenia: [30], Ilość: [1]
2016-12-30 19:37:28 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/03/2016],  Nazwa urządzenia: [Wyświetlacz LCD 15 cali], ID urządzenia: [25], Ilość: [1]
2016-12-30 19:39:20 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
